name,city,kind,item_id,place_id,primary_type,business_status,is_lodging,lodging_types,all_types
Art Cafe,Srithanu,Cafe,6784e2122c567ba362777f47,ChIJ6f-4rcQBVTAR-NphUfn29tc,Cafe,OPERATIONAL,,,"cafe, point_of_interest, food, establishment"
Art Food Corner,Funchal,Cafe,664fb8985043bf3daf5dd16e,ChIJE7YGfgVgYAwRqxLAoAXFemg,Coffee Shop,OPERATIONAL,,,"coffee_shop, brunch_restaurant, breakfast_restaurant, cafe, vegetarian_restaurant, bar, food_store, store, restaurant, food, point_of_interest, establishment"
"Art Kafé, Santa Maria",Santa Maria,Cafe,676736cf9d7b3a96011eb914,ChIJ6Wiqe-hbSwkRvJbnyh3m604,Restaurant,OPERATIONAL,,,"restaurant, food, point_of_interest, establishment"
Artis Coffee Bangkok,Sukhumvit,Cafe,674b379f02306752fb737bbd,ChIJj-lzz-Ke4jAREFnwwEkAIB8,Coffee shop,OPERATIONAL,,,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment"
Artisan Cafe,Hai Ya,Cafe,67dbb81f507d6795321a8a9c,ChIJz9PXLncw2jAR9GDoUHCuEKw,Coffee shop,OPERATIONAL,,,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment"
Attendant Coffee Roasters - Bank,Bank,Cafe,6809cff77a5c39fcdc925da1,ChIJLfDRmTkDdkgRkaTYL1AXfeo,Coffee shop,OPERATIONAL,,,"coffee_shop, cafe, point_of_interest, food_store, store, food, establishment"
Attendant Coffee Roasters - Fitzrovia,Fitzrovia,Cafe,6809cfff7a5c39fcdc92641f,ChIJT3lsCSobdkgRsmpQbI2yp5w,Coffee shop,OPERATIONAL,,,"coffee_shop, tea_store, brunch_restaurant, cafe, breakfast_restaurant, restaurant, point_of_interest, food_store, store, food, establishment"
Attendant Coffee Roasters - Shoreditch,Shoreditch,Cafe,67d0057fe660a8c7f2a6dbb5,ChIJG0K3_68cdkgRiwtSEMbrTco,Cafe,CLOSED_PERMANENTLY,,,"cafe, breakfast_restaurant, restaurant, food, point_of_interest, establishment"
Augusto Smoothy Bar,Surat Thani Airport,Cafe,679c449b1f44d535f9e2db38,ChIJJzSDnbOrVjARA58ZO2cFYoI,Restaurant,OPERATIONAL,,,"restaurant, point_of_interest, food, establishment"
Avila Spaces,Saldanha,Coworking Space,6809cff63edc9df7affd054d,ChIJMUIsYAozGQ0RxnGf2TgYIgE,,OPERATIONAL,,,"coworking_space, corporate_office, point_of_interest, establishment"
